genero;nhijos;edad;promedio;etnia;modalidad;rendimiento
MASCULINO;1;27;8.915;Mestizos;0;BAJO
MASCULINO;0;24;8.83;Mestizos;0;ALTO
MASCULINO;0;26;8.54;Mestizos;0;ALTO
FEMENINO;0;21;8.77;Mestizos;0;BAJO
FEMENINO;0;22;8.585;Mestizos;0;ALTO
FEMENINO;0;21;8.87;Mestizos;0;ALTO
FEMENINO;0;21;9.38;Mestizos;0;BAJO
MASCULINO;0;20;9.105;Mestizos;0;BAJO
MASCULINO;0;22;8.235;Mestizos;0;BAJO
FEMENINO;0;24;9.525;Mestizos;0;BAJO
MASCULINO;0;24;8.725;Mestizos;0;BAJO
MASCULINO;0;21;8.34;Mestizos;0;ALTO
MASCULINO;0;26;9.035;Mestizos;0;BAJO
MASCULINO;0;23;8.18;Mestizos;0;ALTO
MASCULINO;0;21;9.235;Mestizos;0;BAJO
FEMENINO;0;25;8.405;Mestizos;0;ALTO
MASCULINO;0;20;8.99;Negro;0;BAJO
MASCULINO;0;27;9.005;Mestizos;0;BAJO
FEMENINO;1;25;8.325;Mestizos;0;ALTO
FEMENINO;0;24;8.95;Mestizos;0;BAJO
FEMENINO;0;25;8.605;Mestizos;0;ALTO
MASCULINO;0;22;8.725;Mestizos;0;BAJO
FEMENINO;0;22;8.86;Mestizos;0;ALTO
FEMENINO;0;21;9.15;Mestizos;0;ALTO
FEMENINO;0;22;8.655;Mestizos;0;ALTO
MASCULINO;1;25;9.62;Mestizos;0;BAJO
MASCULINO;0;23;8.59;Montubio;0;BAJO
FEMENINO;0;21;8.495;Mestizos;0;ALTO
MASCULINO;0;25;8.46;Mestizos;0;ALTO
FEMENINO;0;22;9.81;Mestizos;0;BAJO
MASCULINO;0;22;9.13;Mestizos;0;ALTO
MASCULINO;0;22;8.95;Mestizos;0;ALTO
MASCULINO;0;22;9.11;AfroEcuatoriano;0;ALTO
MASCULINO;0;22;8.905;Mestizos;0;ALTO
MASCULINO;0;23;8.97;Mestizos;0;BAJO
FEMENINO;1;22;9.17;Mestizos;0;ALTO
FEMENINO;0;22;8.87;Mestizos;0;ALTO
MASCULINO;0;22;8.29;Mestizos;0;BAJO
FEMENINO;0;22;8.815;Mestizos;0;ALTO
MASCULINO;1;23;7.945;Mestizos;0;ALTO
FEMENINO;0;22;9.155;Mestizos;0;ALTO
FEMENINO;0;21;8.815;Mestizos;0;ALTO
FEMENINO;0;22;8.37;Mestizos;0;ALTO
MASCULINO;0;22;9.275;Mestizos;0;ALTO
MASCULINO;0;22;9.075;AfroEcuatoriano;0;ALTO
MASCULINO;0;21;9.04;Mestizos;0;ALTO
MASCULINO;0;21;8.855;Mestizos;0;ALTO
FEMENINO;0;24;8.93;Mestizos;0;ALTO
FEMENINO;0;22;8.855;Mestizos;0;ALTO
MASCULINO;1;31;8.445;Mestizos;0;ALTO
FEMENINO;0;22;8.685;Mestizos;0;ALTO
MASCULINO;0;21;8.24;Mestizos;0;ALTO
MASCULINO;0;24;8.845;Mestizos;0;ALTO
FEMENINO;0;29;9.485;Mestizos;0;ALTO
MASCULINO;0;25;8.9;Mestizos;0;BAJO
MASCULINO;0;22;9.345;Mestizos;0;ALTO
MASCULINO;1;30;8.44;Mestizos;0;BAJO
MASCULINO;0;25;8.23;Blancos;0;ALTO
MASCULINO;0;24;7.875;AfroEcuatoriano;0;ALTO
MASCULINO;0;23;9.26;Mestizos;0;BAJO
MASCULINO;0;25;7.985;Mestizos;0;ALTO
MASCULINO;0;32;8.7;Mestizos;0;ALTO
FEMENINO;1;33;8.845;Mestizos;0;ALTO
MASCULINO;0;22;8.47;Mestizos;0;ALTO
MASCULINO;0;23;9.375;Mestizos;0;ALTO
MASCULINO;0;23;7.895;Blancos;0;BAJO
FEMENINO;3;34;8.29;Mestizos;0;ALTO
FEMENINO;0;34;9.22;Mestizos;0;ALTO
MASCULINO;0;23;8.5;Mestizos;0;ALTO
MASCULINO;0;23;8.65;Mestizos;0;ALTO
MASCULINO;0;23;8.605;Mestizos;0;ALTO
FEMENINO;0;21;8.555;Mestizos;0;ALTO
MASCULINO;0;24;8.52;Blancos;0;ALTO
MASCULINO;0;23;7.97;Mestizos;0;ALTO
MASCULINO;2;30;8.385;Mestizos;0;BAJO
MASCULINO;1;32;7.665;Mestizos;0;ALTO
FEMENINO;0;22;8.91;Blancos;0;ALTO
MASCULINO;0;23;7.985;Mestizos;0;ALTO
MASCULINO;0;24;8.255;Mestizos;0;ALTO
MASCULINO;0;26;7.72;Mestizos;0;ALTO
MASCULINO;0;23;7.82;Mestizos;0;ALTO
MASCULINO;0;21;8.16;Mestizos;0;ALTO
FEMENINO;0;23;8.08;Mestizos;0;ALTO
MASCULINO;0;23;8.365;Mestizos;0;ALTO
MASCULINO;0;22;7.83;Blancos;0;ALTO
MASCULINO;0;21;8.115;Mestizos;0;BAJO
MASCULINO;0;22;8.305;Mestizos;0;ALTO
FEMENINO;1;22;8.86;Mestizos;0;ALTO
MASCULINO;1;26;7.895;Mestizos;0;ALTO
MASCULINO;0;22;8.14;Mestizos;0;ALTO
MASCULINO;0;27;8.255;Mestizos;0;ALTO
FEMENINO;0;23;8.12;Mestizos;0;ALTO
FEMENINO;0;22;9.235;Mestizos;0;ALTO
MASCULINO;0;25;8.095;Mestizos;0;ALTO
FEMENINO;0;21;8.45;Mestizos;0;ALTO
FEMENINO;0;24;8.43;Mestizos;0;BAJO
FEMENINO;0;24;8.365;Mestizos;0;ALTO
FEMENINO;0;23;7.98;Mestizos;0;ALTO
FEMENINO;0;22;8.415;Mestizos;0;ALTO
FEMENINO;0;22;7.99;Indígenas;0;ALTO
MASCULINO;1;22;8.325;Mestizos;0;ALTO
FEMENINO;0;22;8.735;Mestizos;0;ALTO
FEMENINO;0;23;8.53;Mestizos;0;ALTO
MASCULINO;0;22;8.015;Mestizos;0;ALTO
MASCULINO;0;22;8.965;AfroEcuatoriano;0;ALTO
MASCULINO;0;22;8.775;Mestizos;0;ALTO
MASCULINO;0;23;8.3;Mestizos;0;ALTO
FEMENINO;0;22;8.305;Mestizos;0;BAJO
FEMENINO;0;24;8.15;Mestizos;0;ALTO
MASCULINO;2;22;7.865;Mestizos;0;ALTO
MASCULINO;0;23;8.435;Mestizos;0;BAJO
MASCULINO;0;23;8.44;Mestizos;0;ALTO
MASCULINO;0;22;8.765;Mestizos;0;ALTO
MASCULINO;2;27;8.215;Mestizos;0;ALTO
MASCULINO;0;23;8.155;Mestizos;0;ALTO
MASCULINO;0;22;7.535;Mestizos;0;ALTO
FEMENINO;0;22;8.285;Mestizos;0;ALTO
MASCULINO;0;23;8.175;AfroEcuatoriano;0;ALTO
MASCULINO;1;22;8.48;Mestizos;0;BAJO
MASCULINO;0;22;7.79;Mestizos;0;ALTO
MASCULINO;0;23;8.205;Mestizos;0;ALTO
MASCULINO;0;24;8.1;Mestizos;0;ALTO
FEMENINO;1;21;8;Mestizos;0;ALTO
FEMENINO;1;25;7.73;Mestizos;0;ALTO
MASCULINO;0;22;8.265;Mestizos;0;ALTO
MASCULINO;0;33;8.775;Mestizos;0;ALTO
FEMENINO;0;22;9.185;Mestizos;0;ALTO
FEMENINO;0;22;8.18;Mestizos;0;ALTO
MASCULINO;0;26;8.45;Mestizos;0;ALTO
MASCULINO;0;22;8.115;Mestizos;0;ALTO
MASCULINO;0;22;8.935;Mestizos;0;ALTO
FEMENINO;1;27;8.99;Mestizos;0;ALTO
MASCULINO;0;22;8.005;AfroEcuatoriano;0;ALTO
MASCULINO;0;22;7.985;Mestizos;0;ALTO
MASCULINO;0;22;8.635;Mestizos;0;ALTO
FEMENINO;1;22;8.525;Mestizos;0;ALTO
MASCULINO;0;22;8.2;Mestizos;0;ALTO
FEMENINO;0;22;8.62;Mestizos;0;ALTO
MASCULINO;0;22;8.285;Mestizos;0;ALTO
MASCULINO;0;22;8.185;Mestizos;0;ALTO
MASCULINO;0;23;8.79;Mestizos;0;ALTO
MASCULINO;0;24;8.37;Mestizos;0;ALTO
MASCULINO;0;21;8.73;Mestizos;0;ALTO
MASCULINO;0;21;8.435;Mestizos;0;ALTO
FEMENINO;1;27;7.905;Mestizos;0;ALTO
FEMENINO;0;22;7.815;Mestizos;0;ALTO
FEMENINO;0;22;9.28;Mestizos;0;ALTO
MASCULINO;0;22;8.16;Mestizos;0;ALTO
MASCULINO;0;22;8.64;Mestizos;0;ALTO
MASCULINO;0;24;8.145;Mestizos;0;ALTO
MASCULINO;1;24;8.04;Mestizos;0;ALTO
MASCULINO;0;23;8.115;Mestizos;0;BAJO
MASCULINO;0;24;8.58;Mestizos;0;BAJO
FEMENINO;0;23;8.065;Mestizos;0;ALTO
MASCULINO;0;23;8.045;Mestizos;0;BAJO
FEMENINO;0;22;8.56;Mestizos;0;ALTO
MASCULINO;0;22;8.44;Mestizos;0;ALTO
FEMENINO;0;22;8.405;Mestizos;0;ALTO
FEMENINO;1;21;8.13;Mestizos;0;BAJO
MASCULINO;0;22;8.625;Mestizos;0;ALTO
MASCULINO;0;22;8.025;Mestizos;0;ALTO
FEMENINO;0;22;8.28;Mestizos;0;ALTO
FEMENINO;0;21;8.56;Mestizos;0;ALTO
MASCULINO;0;22;8.365;Mestizos;0;ALTO
MASCULINO;0;23;7.775;Mestizos;0;ALTO
FEMENINO;0;21;9.115;Mestizos;0;ALTO
FEMENINO;0;25;8.155;Mestizos;0;ALTO
FEMENINO;0;23;7.84;Mestizos;0;ALTO
MASCULINO;0;29;8.435;Mulato;0;ALTO
FEMENINO;0;23;8.535;Mestizos;0;ALTO
MASCULINO;0;23;8.08;Mestizos;0;ALTO
FEMENINO;0;22;8.285;Mestizos;0;ALTO
MASCULINO;0;23;8.44;Indígenas;0;ALTO
MASCULINO;0;22;7.92;Mestizos;0;ALTO
MASCULINO;0;23;8.115;Blancos;0;ALTO
FEMENINO;0;22;8.04;Mulato;0;ALTO
MASCULINO;0;42;8.305;Indígenas;0;ALTO
MASCULINO;0;33;8.72;Mestizos;0;ALTO
MASCULINO;0;26;8.69;Mestizos;0;ALTO
MASCULINO;0;24;8.275;Mestizos;0;ALTO
FEMENINO;1;29;8.7;Mestizos;0;ALTO
MASCULINO;0;23;8.69;Mestizos;0;BAJO
MASCULINO;0;23;8.41;Mestizos;0;ALTO
MASCULINO;0;4;7.985;Mestizos;0;ALTO
FEMENINO;0;23;8.32;Mestizos;0;ALTO
MASCULINO;0;24;7.94;Mestizos;0;ALTO
