etnia;genero;nhijos;edad;promedio;he;sv;modalidad;rendimiento
Mestizos;MASCULINO;0;22;8.85;34.1;0;0;ALTO
Mestizos;MASCULINO;1;32;9.25;19.1;0;0;ALTO
Mestizos;MASCULINO;2;34;8.945;45.9;0;0;ALTO
Mestizos;MASCULINO;0;25;9.575;39.3;0;0;ALTO
Mestizos;FEMENINO;0;21;8.895;27.2;0;0;ALTO
Mestizos;MASCULINO;0;21;8.445;43.1;0;0;BAJO
Montubio;MASCULINO;0;21;9.06;34.6;0;0;ALTO
Mestizos;FEMENINO;0;22;8.75;44;0;0;ALTO
Montubio;FEMENINO;0;23;9.22;16.5;0;0;ALTO
Mestizos;MASCULINO;0;31;9.685;37.3;0;0;ALTO
Mestizos;MASCULINO;0;20;8.23;17.1;0;0;BAJO
Mestizos;FEMENINO;0;22;9.38;47.5;0;0;ALTO
Mestizos;FEMENINO;0;21;9.19;9.6;0;0;ALTO
Mestizos;FEMENINO;1;30;9;11.8;0;0;ALTO
Mestizos;MASCULINO;0;21;8.82;49.7;0;0;ALTO
Mestizos;FEMENINO;0;21;8.795;25.3;0;0;ALTO
Mestizos;FEMENINO;0;21;8.915;41.3;0;0;ALTO
Mestizos;FEMENINO;0;31;8.86;37.6;0;0;ALTO
Mestizos;MASCULINO;0;30;9.035;48.2;0;0;ALTO
Mestizos;FEMENINO;0;25;9.06;7.9;0;0;ALTO
Mestizos;MASCULINO;0;23;9.745;37.8;0;0;ALTO
Mestizos;MASCULINO;0;22;9.545;42.8;0;0;ALTO
Mestizos;MASCULINO;0;22;8.52;6.1;0;0;ALTO
Mestizos;MASCULINO;0;24;8.88;8.1;0;0;ALTO
Mestizos;MASCULINO;99;25;8.895;33.9;0;0;ALTO
Mestizos;FEMENINO;0;24;9.84;14.5;0;0;ALTO
Mestizos;FEMENINO;1;23;8.91;20.7;0;0;ALTO
Mestizos;MASCULINO;1;27;8.915;1.7;0;0;ALTO
Mestizos;MASCULINO;0;24;8.83;19.3;0;0;ALTO
Mestizos;MASCULINO;0;26;8.54;16.4;0;0;ALTO
Mestizos;FEMENINO;0;21;8.77;31.9;0;0;ALTO
Mestizos;FEMENINO;0;22;8.585;34.3;0;0;ALTO
Mestizos;FEMENINO;0;21;8.87;15.6;0;0;ALTO
Mestizos;FEMENINO;0;21;9.38;13.9;0;0;ALTO
Mestizos;MASCULINO;0;20;9.105;42.7;0;0;ALTO
Mestizos;MASCULINO;0;22;8.235;40.5;0;0;BAJO
Mestizos;FEMENINO;0;24;9.525;27.3;0;0;ALTO
Mestizos;MASCULINO;0;24;8.725;8.7;0;0;ALTO
Mestizos;MASCULINO;0;21;8.34;45.7;0;0;BAJO
Mestizos;MASCULINO;0;26;9.035;21.4;0;0;ALTO
Mestizos;MASCULINO;0;23;8.18;47.5;0;0;BAJO
Mestizos;MASCULINO;0;21;9.235;41.8;0;0;ALTO
Mestizos;FEMENINO;0;25;8.405;15.7;0;0;BAJO
Negro;MASCULINO;0;20;8.99;41.2;0;0;ALTO
Mestizos;MASCULINO;0;27;9.005;34.3;0;0;ALTO
Mestizos;FEMENINO;1;25;8.325;8.6;0;0;BAJO
Mestizos;FEMENINO;0;24;8.95;43.7;0;0;ALTO
Mestizos;FEMENINO;0;25;8.605;43.8;0;0;ALTO
Mestizos;MASCULINO;0;22;8.725;2;0;0;ALTO
Mestizos;FEMENINO;0;22;8.86;42.3;0;0;ALTO
Mestizos;FEMENINO;0;21;9.15;43.5;0;0;ALTO
Mestizos;FEMENINO;0;22;8.655;10.8;0;0;ALTO
Mestizos;MASCULINO;1;25;9.62;47.6;0;0;ALTO
Montubio;MASCULINO;0;23;8.59;1.6;0;0;ALTO
Mestizos;FEMENINO;0;21;8.495;49.8;0;0;BAJO
Mestizos;MASCULINO;0;25;8.46;20.4;0;0;BAJO
Mestizos;FEMENINO;0;22;9.81;25.6;0;0;ALTO
Mestizos;MASCULINO;0;22;9.13;25.1;0;0;ALTO
Mestizos;MASCULINO;0;22;8.95;11.3;0;0;ALTO
AfroEcuatoriano;MASCULINO;0;22;9.11;13.3;0;0;ALTO
Mestizos;MASCULINO;0;22;8.905;17.4;0;0;ALTO
Mestizos;MASCULINO;0;23;8.97;19.9;0;0;ALTO
Mestizos;FEMENINO;1;22;9.17;24.1;0;0;ALTO
Mestizos;FEMENINO;0;22;8.87;15.1;0;0;ALTO
Mestizos;MASCULINO;0;22;8.29;32.4;0;0;BAJO
Mestizos;FEMENINO;0;22;8.815;40.4;0;0;ALTO
Mestizos;MASCULINO;1;23;7.945;43.4;0;0;BAJO
Mestizos;FEMENINO;0;22;9.155;48.1;0;0;ALTO
Mestizos;FEMENINO;0;21;8.815;31.1;0;0;ALTO
Mestizos;FEMENINO;0;22;8.37;45;0;0;BAJO
Mestizos;MASCULINO;0;22;9.275;40.8;0;0;ALTO
AfroEcuatoriano;MASCULINO;0;22;9.075;33.2;0;0;ALTO
Mestizos;MASCULINO;0;21;9.04;25.8;0;0;ALTO
Mestizos;MASCULINO;0;21;8.855;7.4;0;0;ALTO
Mestizos;FEMENINO;0;24;8.93;6.8;0;0;ALTO
Mestizos;FEMENINO;0;22;8.855;30.9;0;0;ALTO
Mestizos;MASCULINO;1;31;8.445;15;0;0;BAJO
Mestizos;FEMENINO;0;22;8.685;16.2;0;0;ALTO
Mestizos;MASCULINO;0;21;8.24;6.6;0;0;BAJO
Mestizos;MASCULINO;0;24;8.845;46.3;0;0;ALTO
Mestizos;FEMENINO;0;29;9.485;31.7;0;0;ALTO
Mestizos;MASCULINO;0;25;8.9;17.1;0;0;ALTO
Mestizos;MASCULINO;0;22;9.345;28.5;0;0;ALTO
Mestizos;MASCULINO;1;30;8.44;24.2;0;0;BAJO
Blancos;MASCULINO;0;25;8.23;49.1;0;0;BAJO
AfroEcuatoriano;MASCULINO;0;24;7.875;20.4;0;0;BAJO
Mestizos;MASCULINO;0;23;9.26;38.7;0;0;ALTO
Mestizos;MASCULINO;0;25;7.985;38.3;0;0;BAJO
Mestizos;MASCULINO;0;32;8.7;27.4;0;0;ALTO
Mestizos;FEMENINO;1;33;8.845;29.8;0;0;ALTO
Mestizos;MASCULINO;0;22;8.47;27.2;0;0;BAJO
Mestizos;MASCULINO;0;23;9.375;40.2;0;0;ALTO
Blancos;MASCULINO;0;23;7.895;20.6;0;0;BAJO
Mestizos;FEMENINO;3;34;8.29;38.5;0;0;BAJO
Mestizos;FEMENINO;0;34;9.22;44.5;0;0;ALTO
Mestizos;MASCULINO;0;23;8.5;33.9;0;0;BAJO
Mestizos;MASCULINO;0;23;8.65;24.6;0;0;ALTO
Mestizos;MASCULINO;0;23;8.605;20.8;0;0;ALTO
Mestizos;FEMENINO;0;21;8.555;46.2;0;0;ALTO
Blancos;MASCULINO;0;24;8.52;43.4;0;0;ALTO
Mestizos;MASCULINO;0;23;7.97;42.2;0;0;BAJO
Mestizos;MASCULINO;2;30;8.385;20.9;0;0;BAJO
Mestizos;MASCULINO;1;32;7.665;22.9;0;0;BAJO
Blancos;FEMENINO;0;22;8.91;5.2;0;0;ALTO
Mestizos;MASCULINO;0;23;7.985;41.2;0;0;BAJO
Mestizos;MASCULINO;0;24;8.255;41.6;0;0;BAJO
Mestizos;MASCULINO;0;26;7.72;45.2;0;0;BAJO
Mestizos;MASCULINO;0;23;7.82;44.2;0;0;BAJO
Mestizos;MASCULINO;0;21;8.16;26;0;0;BAJO
Mestizos;FEMENINO;0;23;8.08;49.7;0;0;BAJO
Mestizos;MASCULINO;0;23;8.365;48.7;0;0;BAJO
Blancos;MASCULINO;0;22;7.83;41.3;0;0;BAJO
Mestizos;MASCULINO;0;21;8.115;9.4;0;0;BAJO
Mestizos;MASCULINO;0;22;8.305;16.1;0;0;BAJO
Mestizos;FEMENINO;1;22;8.86;21.2;0;0;ALTO
Mestizos;MASCULINO;1;26;7.895;38.6;0;0;BAJO
Mestizos;MASCULINO;0;22;8.14;17.6;0;0;BAJO
Mestizos;MASCULINO;0;27;8.255;5.5;0;0;BAJO
Mestizos;FEMENINO;0;23;8.12;22.9;0;0;BAJO
Mestizos;FEMENINO;0;22;9.235;15.7;0;0;ALTO
Mestizos;MASCULINO;0;25;8.095;17.2;0;0;BAJO
Mestizos;FEMENINO;0;21;8.45;27.6;0;0;BAJO
Mestizos;FEMENINO;0;24;8.43;45.9;0;0;BAJO
Mestizos;FEMENINO;0;24;8.365;4;0;0;BAJO
Mestizos;FEMENINO;0;23;7.98;9.3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.415;2.5;0;0;BAJO
Indígenas;FEMENINO;0;22;7.99;40.9;0;0;BAJO
Mestizos;MASCULINO;1;22;8.325;10.8;0;0;BAJO
Mestizos;FEMENINO;0;22;8.735;37.3;0;0;ALTO
Mestizos;FEMENINO;0;23;8.53;24.3;0;0;ALTO
Mestizos;MASCULINO;0;22;8.015;25.5;0;0;BAJO
AfroEcuatoriano;MASCULINO;0;22;8.965;27;0;0;ALTO
Mestizos;MASCULINO;0;22;8.775;13.1;0;0;ALTO
Mestizos;MASCULINO;0;23;8.3;44.7;0;0;BAJO
Mestizos;FEMENINO;0;22;8.305;42.4;0;0;BAJO
Mestizos;FEMENINO;0;24;8.15;46.2;0;0;BAJO
Mestizos;MASCULINO;2;22;7.865;8.4;0;0;BAJO
Mestizos;MASCULINO;0;23;8.435;6.3;0;0;BAJO
